scheduler,arrival_rate_txs,served,served_sd,frac,drop,backlog,n,below_saturation,shortfall_pct
adaptive,250.0,249.27406686464647,1.6751103507846854,0.9970962674585857,0.0,0.0,10,Yes,0.29037325414142945
adaptive,500.0,496.3189220805736,3.583271635493153,0.9926378441611472,0.0,0.0,10,Yes,0.7362155838852802
adaptive,1000.0,985.1071460478964,6.396741385721107,0.9851071460478964,0.0,0.0,10,No,1.4892853952103602
adaptive,1500.0,1465.3888190552425,9.471888153134103,0.9769258793701617,0.0,0.0,10,No,2.307412062983827
adaptive,2000.0,1940.5415760158637,14.754801030702524,0.970270788007932,0.0,0.0,10,No,2.9729211992068016
adaptive,2500.0,2408.6252696503166,19.45776955308427,0.9634501078601264,0.0,0.0,10,No,3.6549892139873585
adaptive,3000.0,2874.393077844029,23.479041712910433,0.9581310259480098,0.0,0.0,10,No,4.186897405199019
adaptive_batch,250.0,236.3019141856501,0.56572737432017,0.9452076567426004,0.0,0.0,10,No,5.479234325739957
adaptive_batch,500.0,236.14254849540856,0.4687484078233359,0.4722850969908171,0.16718999999999995,0.0,10,No,52.77149030091829
adaptive_batch,1000.0,237.47961577910982,0.8681568282628824,0.23747961577910984,0.3591333333333333,0.0,10,No,76.25203842208902
adaptive_batch,1500.0,253.56868449481894,0.8526722635275595,0.1690457896632126,0.4000466666666666,0.0,10,No,83.09542103367875
adaptive_batch,2000.0,272.59785004065185,1.5135898284927969,0.13629892502032587,0.40685666666666664,0.0,10,No,86.37010749796741
adaptive_batch,2500.0,294.04594973912174,2.1688796211075,0.11761837989564865,0.39882,0.0,10,No,88.23816201043513
adaptive_batch,3000.0,314.169008571634,2.7651632042634025,0.10472300285721128,0.38705999999999996,0.0,10,No,89.52769971427887
fixed,250.0,249.23693832688528,1.706027998600239,0.996947753307541,0.0,0.0,10,Yes,0.305224669245896
fixed,500.0,496.4266483439675,3.4660818349090423,0.9928532966879349,0.0,0.0,10,Yes,0.7146703312065128
fixed,1000.0,985.7137193482506,7.306604392102358,0.9857137193482506,0.0,0.0,10,No,1.4286280651749417
fixed,1500.0,1464.3246435304598,9.50258006935788,0.9762164290203066,0.0,0.0,10,No,2.3783570979693414
fixed,2000.0,1931.6739107630444,15.76757208225066,0.9658369553815221,0.0,0.0,10,No,3.4163044618477856
fixed,2500.0,2400.3687466750293,14.834786881201056,0.9601474986700117,0.0,0.0,10,No,3.98525013299883
fixed,3000.0,2853.740734823442,17.888623666358047,0.9512469116078138,0.0,0.0,10,No,4.875308839218617
