scheduler,arrival_rate_txs,workload,trial_id,window_ms_setting,l_target_ms,offered,admitted,dropped,verified,verified_recorded,drop_fraction,served_rate_proofs_s,served_fraction,mean_throughput_proofs_s,std_throughput,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct,mean_batch_size,final_tx_queue,final_buffer,idc,sim_seconds
adaptive,5000.0,poisson,1,100.0,150.0,5000,5000,0,5000,4957,0.0,2546.7826973963765,0.5093565394792753,3200.0,0.0,510.1060105635076,482.99902017293374,915.1748552399561,1071.0004913689152,216.23265524651566,0.42389748555921974,58.28124999999999,84.375,8.037094999999999,0.43099999999999994,0.96,69.44444444444444,0,0,1.878736842105263,1.946377288124202
fixed,5000.0,poisson,1,100.0,150.0,5000,5000,0,5000,4977,0.0,2437.1677055177133,0.48743354110354264,2488.5,1006.2129496284572,515.3416819901099,483.0426484381045,942.2671417897732,1123.423903285961,226.59011114684716,0.43968908214801794,54.613095238095234,84.375,8.035580952380954,0.4357142857142856,0.96,94.33962264150944,0,0,1.878736842105263,2.042124548397774
adaptive_batch,5000.0,poisson,1,500.0,150.0,5000,5000,0,5000,5000,0.0,2552.0646855330297,0.510412937106606,3321.0,0.0,491.827693196819,456.8702548943278,900.8103080708522,1067.93968489281,213.9464700865211,0.4350028943996536,60.62499999999999,93.75,8.035174999999999,0.23900000000000002,0.7100000000000001,41.666666666666664,0,12,1.878736842105263,1.959197989119813
adaptive,5000.0,poisson,2,100.0,150.0,5000,5000,0,5000,4948,0.0,2540.242517567263,0.5080485035134525,3100.0,0.0,531.7362687956345,504.4719066663671,944.5951691576514,1097.48492919805,220.56139896964913,0.4147947242139672,59.80224609375,84.375,8.040914999999998,0.348,0.95,68.4931506849315,0,1,0.8289333333333335,1.9478455170251208
fixed,5000.0,poisson,2,100.0,150.0,5000,5000,0,5000,4974,0.0,2469.5743000407756,0.4939148600081551,2487.0,866.9129137347072,536.9586576650914,506.59257169359,981.3339176149873,1150.997364326798,231.97961634719255,0.43202509734349315,55.912853422619044,84.375,8.03977619047619,0.41238095238095235,0.9400000000000001,94.33962264150944,0,0,0.8289333333333335,2.014112310740306
adaptive_batch,5000.0,poisson,2,500.0,150.0,5000,5000,0,5000,5000,0.0,2044.6147747663697,0.40892295495327396,2500.0,893.7829714197961,513.0565591865558,483.05914829988205,927.5275591026322,1100.1008019674994,218.82228873656013,0.4265071458856308,50.09179687500001,93.75,8.031828,0.188,0.73,40.98360655737705,0,0,0.8289333333333335,2.445448434447184
adaptive,5000.0,poisson,3,100.0,150.0,5000,5000,0,5000,4965,0.0,2422.5328481975703,0.48450656963951405,2482.5,873.2768747653862,541.5745840559301,518.7117059866579,966.9384655676666,1110.5478569549387,228.43810808213996,0.421803597892896,57.443963913690474,84.375,8.040376190476191,0.3961904761904762,0.9199999999999999,67.56756756756756,0,0,0.6922105263157895,2.0495078131527067
fixed,5000.0,poisson,3,100.0,150.0,5000,5000,0,5000,4984,0.0,2453.9870029777303,0.49079740059554605,2492.0,859.8418459228418,547.2300089004605,520.9162962878656,993.5210106456018,1166.9849366354774,238.48298567343198,0.43580027007768013,56.69991629464286,84.375,8.04092380952381,0.4509523809523809,0.98,94.33962264150944,0,0,0.6922105263157895,2.0309806017522862
adaptive_batch,5000.0,poisson,3,500.0,150.0,5000,5000,0,5000,5000,0.0,1970.5560239022932,0.39411120478045863,2500.0,893.7829714197961,522.725130156999,493.59126680653605,938.3724471684774,1132.6835463999003,226.044754553361,0.432435215971861,49.04127854567308,96.875,8.031557692307693,0.21461538461538462,0.7799999999999999,40.32258064516129,0,0,0.6922105263157895,2.537354908640708
