rate,l_target_ms,mean_latency_ms,window_mean_ms,window_min_ms,window_max_ms,mean_batch_size,frac_trials_hitting_w_min
250,100,348.75741243627215,21.092379584305323,20.0,125.0,5.870113309746204,1.0
250,150,348.75741243627215,21.092379584305323,20.0,125.0,5.870113309746204,1.0
250,200,348.75741243627215,21.092379584305323,20.0,125.0,5.870113309746204,1.0
250,300,348.669672280767,22.85273439888997,20.0,125.0,5.9492979647325175,1.0
250,400,358.34538814829614,44.63113624521682,23.47738006508021,150.0,8.901233714249605,0.6
250,500,435.02004998160027,169.89666878092476,113.71489692231357,211.42578125,42.104331550620415,0.0
250,700,565.182526383536,462.3968295938424,125.0,471.661376953125,94.47229756827281,0.0
250,1000,568.6374491012194,489.5832568883319,125.0,500.0,95.60264297106403,0.0
500,100,350.7640845133341,22.164344932565434,20.0,125.0,11.040157243817287,1.0
500,150,350.7640845133341,22.164344932565434,20.0,125.0,11.040157243817287,1.0
500,200,350.7640845133341,22.16542412715029,20.0,125.0,11.040157243817287,1.0
500,300,350.6442103263893,25.185725245325663,20.0,125.0,11.304389964344566,1.0
500,400,360.9751572274325,45.497035831618675,23.946966374058757,150.0,14.918028654699535,0.8
500,500,451.2947540440001,182.5260553532503,102.890625,205.078125,82.61542760749617,0.0
500,700,470.5580879638452,479.4349574990871,125.0,500.0,97.65662362505978,0.0
500,1000,470.5580879638452,479.4349574990871,125.0,500.0,97.65662362505978,0.0
1000,100,354.67220604145695,24.243111133138015,20.0,125.0,21.395485346755077,1.0
1000,150,354.67220604145695,24.243111133138015,20.0,125.0,21.395485346755077,1.0
1000,200,354.6775520189508,24.80136356032248,20.0,125.0,21.47609513610273,1.0
1000,300,356.18158803388906,31.1190892739903,20.0,125.0,22.603318636663552,1.0
1000,400,401.35948543265505,111.08835678154416,61.38526427133011,150.0,65.3378176394128,0.4
1000,500,421.25070378113014,186.71552505644144,125.0,189.453125,98.2323964068386,0.0
1000,700,422.49843118770985,459.5827947655181,125.0,500.0,99.00990099009901,0.0
1000,1000,422.49843118770985,459.5827947655181,125.0,500.0,99.00990099009901,0.0
1500,100,359.0181338610708,26.241260327924994,20.0,125.0,31.68623242165945,1.0
1500,150,359.0181338610708,26.241260327924994,20.0,125.0,31.68623242165945,1.0
1500,200,359.0181338610708,26.241260327924994,20.0,125.0,31.68623242165945,1.0
1500,300,362.43469983196667,34.09209726443769,20.0,125.0,33.50499198180481,1.0
1500,400,405.4590568623393,131.95911784705146,102.72592871529278,145.3125,97.21165761700267,0.0
1500,500,406.23060848131615,194.09469895614825,125.0,199.21875,98.71726088865044,0.0
1500,700,406.7859453012384,441.5047782431482,125.0,500.0,99.00990099009901,0.0
1500,1000,406.7859453012384,441.5047782431482,125.0,500.0,99.00990099009901,0.0
2000,100,364.60484773439487,28.19383869851159,20.0,125.0,41.92901555936881,1.0
2000,150,364.60484773439487,28.19383869851159,20.0,125.0,41.92901555936881,1.0
2000,200,365.8252069700553,31.398234683281412,20.0,125.0,42.725215055795495,1.0
2000,300,368.72673660064584,39.40900585826525,20.0,125.0,44.913525925403235,1.0
2000,400,399.16134309618604,154.71936354961198,121.25,156.25,98.61971418816759,0.0
2000,500,399.3056508718888,187.0935665306544,125.0,193.84765625,98.71726088865044,0.0
2000,700,400.7680848695301,423.56187037542156,125.0,500.0,99.40397024777106,0.0
2000,1000,400.7680848695301,423.56187037542156,125.0,500.0,99.40397024777106,0.0
2500,100,369.55264271168676,30.045977011494255,20.0,125.0,51.707326559718425,1.0
2500,150,369.55264271168676,30.045977011494255,20.0,125.0,51.707326559718425,1.0
2500,200,370.5916876035143,33.981452455590386,20.0,125.0,52.72598160941951,1.0
2500,300,375.3737335684956,50.14019675253068,20.0,125.0,57.975436350020814,1.0
2500,400,395.24382363555816,148.58353549540348,125.0,150.0,98.91235428961616,0.0
2500,500,395.7237353919345,246.7403461654156,125.0,273.590087890625,99.20693561893503,0.0
2500,700,396.61606527129635,406.20279185929695,125.0,500.0,99.50248756218906,0.0
2500,1000,396.61606527129635,406.20279185929695,125.0,500.0,99.50248756218906,0.0
3000,100,373.8964648041577,31.86018018018018,20.0,125.0,61.27625783556554,1.0
3000,150,373.8964648041577,31.86018018018018,20.0,125.0,61.27625783556554,1.0
3000,200,374.18165723868907,33.414234234234236,20.0,125.0,61.58302688640292,1.0
3000,300,378.7910871629894,53.03255351098551,20.0,125.0,67.57419202164571,1.0
3000,400,392.4262721571019,130.83333333333331,125.0,131.25,98.81480758913331,0.0
3000,500,392.4262721571019,130.83333333333331,125.0,131.25,98.81480758913331,0.0
3000,700,392.466118412868,131.50225225225225,125.0,150.0,99.00990099009901,0.0
3000,1000,392.5152969283767,132.1689189189189,125.0,164.0625,99.00990099009901,0.0
